encoder,dataset,system,budget,ndcg10,recall100,mrr10
minilm,arguana,alpha_fixed,0,0.3806506882009263,0.9786628733997155,0.25225959041748514
minilm,arguana,alpha_fixed,50,0.3282100794741168,0.9786628733997155,0.21449146514935988
minilm,arguana,alpha_fixed,100,0.3182351690265552,0.9786628733997155,0.2085833954255007
minilm,arguana,alpha_learned,0,0.3594513371908625,0.9829302987197724,0.2340677143308722
minilm,arguana,alpha_learned,50,0.32733420594109564,0.9829302987197724,0.21284489376594637
minilm,arguana,alpha_learned,100,0.315822449790843,0.9829302987197724,0.20665966718598297
minilm,arguana,alpha_learned_override,0,0.37364511941818096,0.9800853485064012,0.2465022353180248
minilm,arguana,alpha_learned_override,50,0.32918090585505844,0.9800853485064012,0.21458940143150668
minilm,arguana,alpha_learned_override,100,0.3186135936972381,0.9800853485064012,0.20884418252839304
minilm,arguana,alpha_oracle,0,0.4397783959689536,0.9608819345661451,0.30315710447289396
minilm,arguana,alpha_oracle,50,0.32681731097810013,0.9608819345661451,0.21280396938291676
minilm,arguana,alpha_oracle,100,0.3191290751925265,0.9608819345661451,0.20878350154665945
minilm,arguana,bm25,0,0.3063608151291353,0.938122332859175,0.19797579534421642
minilm,arguana,bm25,50,0.32576779124953487,0.938122332859175,0.2126905100589311
minilm,arguana,bm25,100,0.3207192901914291,0.938122332859175,0.20979052360631306
minilm,arguana,dense,0,0.3703128416499958,0.9772403982930299,0.2448742915848179
minilm,arguana,dense,50,0.3297685926726066,0.9772403982930299,0.21512170064801645
minilm,arguana,dense,100,0.3188724691975651,0.9772403982930299,0.2089694958116011
minilm,arguana,rrf,0,0.3684225805856102,0.984352773826458,0.24157945539524486
minilm,arguana,rrf,50,0.3256639968078292,0.984352773826458,0.21225473593894645
minilm,arguana,rrf,100,0.31646011648879735,0.984352773826458,0.206878965431597
minilm,fiqa,alpha_fixed,0,0.4047434950553407,0.7293992315983057,0.4863474916715657
minilm,fiqa,alpha_fixed,50,0.3848634809824334,0.7293992315983057,0.4565353713501862
minilm,fiqa,alpha_fixed,100,0.3764874881669378,0.7293992315983057,0.4498511904761905
minilm,fiqa,alpha_learned,0,0.3664437226867506,0.6748008335971298,0.4404014795218499
minilm,fiqa,alpha_learned,50,0.37010879508811423,0.6748008335971298,0.4437659220066627
minilm,fiqa,alpha_learned,100,0.3669937366711822,0.6748008335971298,0.4395331177738585
minilm,fiqa,alpha_learned_override,0,0.36710932085413883,0.6749937348316978,0.4411730844601215
minilm,fiqa,alpha_learned_override,50,0.3703494492523421,0.6749937348316978,0.44381736233588087
minilm,fiqa,alpha_learned_override,100,0.3670453413685687,0.6749937348316978,0.4395698608661571
minilm,fiqa,alpha_oracle,0,0.47975033774567505,0.6629070946200576,0.5756803595923966
minilm,fiqa,alpha_oracle,50,0.3788284190584279,0.6629070946200576,0.4528984175974916
minilm,fiqa,alpha_oracle,100,0.37371955038102017,0.6629070946200576,0.4462479178914364
minilm,fiqa,bm25,0,0.23849291266421294,0.5382147387934425,0.2989773172643543
minilm,fiqa,bm25,50,0.33209657399477194,0.5382147387934425,0.4058862433862434
minilm,fiqa,bm25,100,0.34838036988633936,0.5382147387934425,0.4236025377229081
minilm,fiqa,dense,0,0.3681223073092485,0.7060569574458463,0.4442221487360376
minilm,fiqa,dense,50,0.38603670953682245,0.7060569574458463,0.4591912845385067
minilm,fiqa,dense,100,0.37843543631582827,0.7060569574458463,0.4513123407799333
minilm,fiqa,rrf,0,0.3744516373396259,0.7129175051628754,0.4468774495394866
minilm,fiqa,rrf,50,0.37227084467040883,0.7129175051628754,0.44375244953948656
minilm,fiqa,rrf,100,0.37014776795589943,0.7129175051628754,0.44284918185381145
minilm,nfcorpus,alpha_fixed,0,0.3372346157465767,0.3210373808475108,0.5305113273379527
minilm,nfcorpus,alpha_fixed,50,0.35007952894874744,0.3210373808475108,0.5721251658558161
minilm,nfcorpus,alpha_fixed,100,0.34942441642946565,0.3210373808475108,0.5752481694432159
minilm,nfcorpus,alpha_learned,0,0.3578796690055096,0.3146990346438507,0.5627991547496191
minilm,nfcorpus,alpha_learned,50,0.3537527550548231,0.3146990346438507,0.5820986289252543
minilm,nfcorpus,alpha_learned,100,0.353031892213183,0.3146990346438507,0.5841232984421839
minilm,nfcorpus,alpha_learned_override,0,0.3578796690055096,0.3146990346438507,0.5627991547496191
minilm,nfcorpus,alpha_learned_override,50,0.3537527550548231,0.3146990346438507,0.5820986289252543
minilm,nfcorpus,alpha_learned_override,100,0.353031892213183,0.3146990346438507,0.5841232984421839
minilm,nfcorpus,alpha_oracle,0,0.4037880914534364,0.3007178532794833,0.629422821760283
minilm,nfcorpus,alpha_oracle,50,0.3586750788213416,0.3007178532794833,0.5898078529657477
minilm,nfcorpus,alpha_oracle,100,0.35693389337109693,0.3007178532794833,0.585985797827903
minilm,nfcorpus,bm25,0,0.318435765771979,0.24938538128235258,0.5228795026782643
minilm,nfcorpus,bm25,50,0.3499487183075132,0.24938538128235258,0.5856590004422821
minilm,nfcorpus,bm25,100,0.34991813709932384,0.24938538128235258,0.5842952970661949
minilm,nfcorpus,dense,0,0.31587868539322683,0.31132712705936855,0.5056931544547644
minilm,nfcorpus,dense,50,0.34036433126554916,0.31132712705936855,0.5640805444985011
minilm,nfcorpus,dense,100,0.34252096113118524,0.31132712705936855,0.5642316575753108
minilm,nfcorpus,rrf,0,0.34225635859094267,0.3140886371651718,0.551953412944125
minilm,nfcorpus,rrf,50,0.35556110454658124,0.3140886371651718,0.583937785640572
minilm,nfcorpus,rrf,100,0.3557929337137629,0.3140886371651718,0.5847510934198241
minilm,scidocs,alpha_fixed,0,0.2183617430448158,0.5087166666666667,0.3636388888888889
minilm,scidocs,alpha_fixed,50,0.18030283148095547,0.5087166666666667,0.306565873015873
minilm,scidocs,alpha_fixed,100,0.17548645253203982,0.5087166666666667,0.3034678571428572
minilm,scidocs,alpha_learned,0,0.1890747618654474,0.45005,0.31950873015873016
minilm,scidocs,alpha_learned,50,0.16998101975495228,0.45005,0.2956289682539682
minilm,scidocs,alpha_learned,100,0.16863327026508557,0.45005,0.29542142857142856
minilm,scidocs,alpha_learned_override,0,0.18972184175467624,0.45025,0.32050873015873016
minilm,scidocs,alpha_learned_override,50,0.16988703857841247,0.45025,0.2956289682539682
minilm,scidocs,alpha_learned_override,100,0.1685352309792542,0.45025,0.29542142857142856
minilm,scidocs,alpha_oracle,0,0.2637829236282743,0.4483333333333333,0.4452607142857143
minilm,scidocs,alpha_oracle,50,0.17672849777351982,0.4483333333333333,0.3010460317460318
minilm,scidocs,alpha_oracle,100,0.17262980319855067,0.4483333333333333,0.2962472222222222
minilm,scidocs,bm25,0,0.15052284173986677,0.3489333333333333,0.2632623015873016
minilm,scidocs,bm25,50,0.16511686546327706,0.3489333333333333,0.2925527777777778
minilm,scidocs,bm25,100,0.16370507921844324,0.3489333333333333,0.28900396825396824
minilm,scidocs,dense,0,0.21643856367282532,0.5099166666666667,0.3595265873015873
minilm,scidocs,dense,50,0.18759362068900823,0.5099166666666667,0.31584523809523807
minilm,scidocs,dense,100,0.18017034137054685,0.5099166666666667,0.3072357142857143
minilm,scidocs,rrf,0,0.19852598248089934,0.47701666666666664,0.33760396825396827
minilm,scidocs,rrf,50,0.17201856950935704,0.47701666666666664,0.29742619047619046
minilm,scidocs,rrf,100,0.1689494618051252,0.47701666666666664,0.29616190476190474
minilm,scifact,alpha_fixed,0,0.6972904569906151,0.945,0.6583862433862434
minilm,scifact,alpha_fixed,50,0.6941357930588742,0.945,0.6598082010582011
minilm,scifact,alpha_fixed,100,0.6927753672653655,0.945,0.6582301587301587
minilm,scifact,alpha_learned,0,0.7274931731347524,0.9433333333333334,0.6919497354497354
minilm,scifact,alpha_learned,50,0.6946067760120381,0.9433333333333334,0.6613783068783069
minilm,scifact,alpha_learned,100,0.6933420492232758,0.9433333333333334,0.6607248677248677
minilm,scifact,alpha_learned_override,0,0.7274931731347524,0.9433333333333334,0.6919497354497354
minilm,scifact,alpha_learned_override,50,0.6946067760120381,0.9433333333333334,0.6613783068783069
minilm,scifact,alpha_learned_override,100,0.6933420492232758,0.9433333333333334,0.6607248677248677
minilm,scifact,alpha_oracle,0,0.7817406226825601,0.9383333333333334,0.7506679894179894
minilm,scifact,alpha_oracle,50,0.702490394226969,0.9383333333333334,0.6683505291005292
minilm,scifact,alpha_oracle,100,0.694056119629503,0.9383333333333334,0.6626428571428572
minilm,scifact,bm25,0,0.6761883106409642,0.9126666666666667,0.6413068783068784
minilm,scifact,bm25,50,0.6918727430995059,0.9126666666666667,0.6602156084656085
minilm,scifact,bm25,100,0.6932966920815941,0.9126666666666667,0.6625873015873015
minilm,scifact,dense,0,0.6463118863003393,0.925,0.6063915343915344
minilm,scifact,dense,50,0.6907460790395683,0.925,0.6577208994708995
minilm,scifact,dense,100,0.692858379112329,0.925,0.6592936507936508
minilm,scifact,rrf,0,0.7148002520260293,0.955,0.6772380952380953
minilm,scifact,rrf,50,0.6950958061907587,0.955,0.6610820105820105
minilm,scifact,rrf,100,0.690833382416744,0.955,0.6586283068783069
minilm,trec-covid,alpha_fixed,0,0.5438040312297394,0.0964441916652939,0.7401904761904761
minilm,trec-covid,alpha_fixed,50,0.704928498967508,0.0964441916652939,0.8683333333333333
minilm,trec-covid,alpha_fixed,100,0.7250695355389472,0.0964441916652939,0.88
minilm,trec-covid,alpha_learned,0,0.692104752957982,0.12476683929481404,0.8958333333333333
minilm,trec-covid,alpha_learned,50,0.7493675040178089,0.12476683929481404,0.8933333333333333
minilm,trec-covid,alpha_learned,100,0.7454187821053608,0.12476683929481404,0.8866666666666667
minilm,trec-covid,alpha_learned_override,0,0.6160810611722298,0.11265617839838599,0.8586904761904762
minilm,trec-covid,alpha_learned_override,50,0.7253430710423291,0.11265617839838599,0.905
minilm,trec-covid,alpha_learned_override,100,0.73568371564485,0.11265617839838599,0.8883333333333333
minilm,trec-covid,alpha_oracle,0,0.7743063441828487,0.12105734925776997,0.9425
minilm,trec-covid,alpha_oracle,50,0.7582725917714686,0.12105734925776997,0.8833333333333333
