confidence_threshold,coverage_deviated_from_dense,ndcg10,delta_vs_dense,ci_low,ci_high
0.34,0.2669,0.4734,0.0172,0.008,0.0266
0.36,0.2574,0.4728,0.0166,0.0076,0.026
0.38,0.2447,0.4727,0.0165,0.0078,0.0257
0.4,0.2194,0.4699,0.0137,0.0057,0.0222
0.42,0.1899,0.4661,0.01,0.0027,0.0178
0.44,0.153,0.4633,0.0071,0.0008,0.0138
0.46,0.1065,0.4583,0.0022,-0.0025,0.0071
0.48,0.0749,0.4578,0.0017,-0.0026,0.0062
0.5,0.0496,0.457,0.0008,-0.0026,0.0043
0.52,0.0306,0.4565,0.0004,-0.0023,0.003
0.54,0.0179,0.4564,0.0002,-0.002,0.0024
0.56,0.0105,0.4558,-0.0003,-0.0024,0.0015
0.58,0.0053,0.4555,-0.0007,-0.002,0.0
0.6,0.0032,0.4562,0.0,0.0,0.0
0.62,0.0011,0.4562,0.0,0.0,0.0
0.64,0.0,0.4562,0.0,0.0,0.0
0.66,0.0,0.4562,0.0,0.0,0.0
0.68,0.0,0.4562,0.0,0.0,0.0
0.7,0.0,0.4562,0.0,0.0,0.0
0.72,0.0,0.4562,0.0,0.0,0.0
0.74,0.0,0.4562,0.0,0.0,0.0
0.76,0.0,0.4562,0.0,0.0,0.0
0.78,0.0,0.4562,0.0,0.0,0.0
0.8,0.0,0.4562,0.0,0.0,0.0
0.82,0.0,0.4562,0.0,0.0,0.0
0.84,0.0,0.4562,0.0,0.0,0.0
0.86,0.0,0.4562,0.0,0.0,0.0
0.88,0.0,0.4562,0.0,0.0,0.0
0.9,0.0,0.4562,0.0,0.0,0.0
0.92,0.0,0.4562,0.0,0.0,0.0
0.94,0.0,0.4562,0.0,0.0,0.0
0.96,0.0,0.4562,0.0,0.0,0.0
0.98,0.0,0.4562,0.0,0.0,0.0
1.0,0.0,0.4562,0.0,0.0,0.0
