dataset,n_docs,depth,rerank_budget,ndcg10,ce_forward_passes_per_query,p50_ms,p95_ms,p99_ms,mean_ms,stage_encode_query_ms,stage_dense_search_ms,stage_bm25_search_ms,stage_fuse_ms,stage_rerank_ms,stage_filter_ms
scifact,5183,100,0,0.756,0.0,35.81,40.176,42.767,36.219,7.105,0.305,1.391,0.384,0.011,27.023
scifact,5183,100,10,0.739,10.0,69.936,75.18,77.251,70.069,7.116,0.323,1.403,0.377,32.389,28.461
scifact,5183,100,50,0.717,50.0,232.29,245.272,252.077,231.594,8.091,0.363,1.569,0.407,186.737,34.427
scifact,5183,100,100,0.717,100.0,464.753,491.653,504.071,466.634,8.203,0.376,1.614,0.406,419.368,36.666
scifact,5183,1000,0,0.76,0.0,39.866,43.627,45.895,40.189,6.914,0.371,1.386,2.354,0.011,29.153
scifact,5183,1000,10,0.738,10.0,78.561,82.888,86.063,78.6,7.431,0.396,1.489,2.408,35.059,31.817
scifact,5183,1000,50,0.722,50.0,246.303,260.636,264.452,247.853,8.244,0.432,1.634,2.428,198.145,36.969
scifact,5183,1000,100,0.72,100.0,463.125,487.285,494.942,465.394,8.157,0.431,1.623,2.418,416.279,36.485
fiqa,57638,100,0,0.433,0.0,36.825,39.76,42.457,36.764,6.761,0.497,1.602,0.388,0.011,27.505
fiqa,57638,100,10,0.425,10.0,73.984,78.843,82.467,73.694,7.131,0.54,1.713,0.403,34.026,29.881
fiqa,57638,100,50,0.395,50.0,241.4,251.271,259.842,241.265,8.008,0.606,1.908,0.431,194.616,35.696
fiqa,57638,100,100,0.384,100.0,447.173,462.811,467.745,448.515,7.913,0.6,1.882,0.427,402.557,35.135
fiqa,57638,1000,0,0.433,0.0,38.972,42.334,44.209,38.969,6.654,0.539,1.627,2.552,0.011,27.586
fiqa,57638,1000,10,0.417,10.0,75.657,80.065,83.164,75.491,7.096,0.575,1.717,2.574,33.558,29.971
fiqa,57638,1000,50,0.39,50.0,241.679,247.573,253.186,241.702,7.907,0.647,1.91,2.64,192.418,36.179
fiqa,57638,1000,100,0.386,100.0,446.617,460.52,464.58,447.344,8.065,0.64,1.935,2.668,398.959,35.077
