dataset,system,metric,mean,std,ci95_lo,ci95_hi,ci95_margin,n
MS-MARCO,dense,recall@1,0.344,0.47516,0.323175,0.364825,0.020825,2000
MS-MARCO,dense,recall@3,0.67,0.47033,0.649387,0.690613,0.020613,2000
MS-MARCO,dense,recall@5,0.832,0.37396,0.81561,0.84839,0.01639,2000
MS-MARCO,dense,mrr,0.5215,0.378568,0.504909,0.538091,0.016591,2000
MS-MARCO,dense,latency_ms,0.422939,0.207679,0.413837,0.432041,0.009102,2000
MS-MARCO,lexical,recall@1,0.2385,0.426273,0.219818,0.257182,0.018682,2000
MS-MARCO,lexical,recall@3,0.507,0.500076,0.485083,0.528917,0.021917,2000
MS-MARCO,lexical,recall@5,0.664,0.472457,0.643294,0.684706,0.020706,2000
MS-MARCO,lexical,mrr,0.389458,0.382672,0.372687,0.40623,0.016771,2000
MS-MARCO,lexical,latency_ms,99.277524,38.943073,97.570768,100.984279,1.706755,2000
MS-MARCO,hybrid,recall@1,0.304,0.460098,0.283835,0.324165,0.020165,2000
MS-MARCO,hybrid,recall@3,0.619,0.485754,0.597711,0.640289,0.021289,2000
MS-MARCO,hybrid,recall@5,0.783,0.412306,0.76493,0.80107,0.01807,2000
MS-MARCO,hybrid,mrr,0.476575,0.381903,0.459837,0.493313,0.016738,2000
MS-MARCO,hybrid,latency_ms,26.231167,0.852524,26.193804,26.268531,0.037364,2000
CodeSearchNet,dense,recall@1,0.87,0.336388,0.855257,0.884743,0.014743,2000
CodeSearchNet,dense,recall@3,0.9575,0.201777,0.948657,0.966343,0.008843,2000
CodeSearchNet,dense,recall@5,0.9745,0.157677,0.967589,0.981411,0.006911,2000
CodeSearchNet,dense,mrr,0.9141,0.233,0.903888,0.924312,0.010212,2000
CodeSearchNet,dense,latency_ms,2.914341,0.131509,2.908577,2.920104,0.005764,2000
CodeSearchNet,lexical,recall@1,0.9305,0.254366,0.919352,0.941648,0.011148,2000
CodeSearchNet,lexical,recall@3,0.987,0.113302,0.982034,0.991966,0.004966,2000
CodeSearchNet,lexical,recall@5,0.994,0.077246,0.990615,0.997385,0.003385,2000
CodeSearchNet,lexical,mrr,0.95865,0.156721,0.951781,0.965519,0.006869,2000
CodeSearchNet,lexical,latency_ms,177.401416,279.673859,165.144168,189.658663,12.257247,2000
CodeSearchNet,hybrid,recall@1,0.9075,0.289803,0.894799,0.920201,0.012701,2000
CodeSearchNet,hybrid,recall@3,0.981,0.136559,0.975015,0.986985,0.005985,2000
CodeSearchNet,hybrid,recall@5,0.9915,0.091826,0.987476,0.995524,0.004024,2000
CodeSearchNet,hybrid,mrr,0.943975,0.181934,0.936001,0.951949,0.007974,2000
CodeSearchNet,hybrid,latency_ms,48.82727,20.848975,47.913524,49.741017,0.913747,2000
