session,mode,mrr_mean,recall5_mean,latency_ms
1,full,0.572,0.88,7.0518
1,no_episodic,0.544,0.94,0.2354
1,no_temporal,0.572,0.88,7.3273
1,no_consolidation,0.502333,0.84,27.4118
2,full,0.488333,0.76,7.0518
2,no_episodic,0.562,0.86,0.2354
2,no_temporal,0.488333,0.76,7.3273
2,no_consolidation,0.371667,0.66,26.2258
3,full,0.487667,0.76,7.0518
3,no_episodic,0.505667,0.84,0.2354
3,no_temporal,0.487667,0.76,7.3273
3,no_consolidation,0.414,0.68,24.9769
4,full,0.564,0.86,7.0518
4,no_episodic,0.516667,0.82,0.2354
4,no_temporal,0.564,0.86,7.3273
4,no_consolidation,0.426333,0.78,25.7888
5,full,0.472667,0.8,7.0518
5,no_episodic,0.603,0.88,0.2354
5,no_temporal,0.472667,0.8,7.3273
5,no_consolidation,0.362,0.7,29.2507
6,full,0.526333,0.8,7.0518
6,no_episodic,0.514667,0.78,0.2354
6,no_temporal,0.526333,0.8,7.3273
6,no_consolidation,0.461,0.74,28.4231
7,full,0.526667,0.78,7.0518
7,no_episodic,0.527,0.86,0.2354
7,no_temporal,0.526667,0.78,7.3273
7,no_consolidation,0.421,0.72,26.8378
8,full,0.525667,0.82,7.0518
8,no_episodic,0.582667,0.86,0.2354
8,no_temporal,0.525667,0.82,7.3273
8,no_consolidation,0.442667,0.76,27.5101
9,full,0.512667,0.8,7.0518
9,no_episodic,0.527333,0.8,0.2354
9,no_temporal,0.512667,0.8,7.3273
9,no_consolidation,0.381333,0.66,28.2381
10,full,0.513,0.92,7.0518
10,no_episodic,0.551,0.9,0.2354
10,no_temporal,0.513,0.92,7.3273
10,no_consolidation,0.426,0.74,27.3697
