horizon,pct,step,mrr_mean,lat_mean,lat_p95
50,0.25,12,0.493056,7.4708,7.4708
50,0.5,25,0.591333,7.4708,7.4708
50,0.75,37,0.6,7.4708,7.4708
50,1.0,50,0.572,7.4708,7.4708
100,0.25,25,0.591333,7.4708,7.4708
100,0.5,50,0.572,7.4708,7.4708
100,0.75,75,0.524444,7.4708,7.4708
100,1.0,100,0.530167,7.4708,7.4708
200,0.25,50,0.572,7.4708,7.4708
200,0.5,100,0.530167,7.4708,7.4708
200,0.75,150,0.516,7.4708,7.4708
200,1.0,200,0.528,7.4708,7.4708
500,0.25,125,0.510933,7.4708,7.4708
500,0.5,250,0.516933,7.4708,7.4708
500,0.75,375,0.520133,7.4708,7.4708
500,1.0,500,0.5189,7.4708,7.4708
