dataset,system,metric,n,mean,std,ci95_lo,ci95_hi,ci95_margin,cohens_d_dense,cohens_d_lexical,wilcoxon_p_dense,wilcoxon_p_lexical
msmarco,dense,recall@1,2000,0.344,0.47516,0.323175,0.364825,0.020825,,,,
msmarco,lexical,recall@1,2000,0.2385,0.426273,0.219818,0.257182,0.018682,,,,
msmarco,hybrid,recall@1,2000,0.304,0.460098,0.283835,0.324165,0.020165,-0.0855,0.1477,1.7e-05,0.0
msmarco,dense,recall@3,2000,0.67,0.47033,0.649387,0.690613,0.020613,,,,
msmarco,lexical,recall@3,2000,0.507,0.500076,0.485083,0.528917,0.021917,,,,
msmarco,hybrid,recall@3,2000,0.619,0.485754,0.597711,0.640289,0.021289,-0.1067,0.2272,1e-06,0.0
msmarco,dense,recall@5,2000,0.832,0.37396,0.81561,0.84839,0.01639,,,,
msmarco,lexical,recall@5,2000,0.664,0.472457,0.643294,0.684706,0.020706,,,,
msmarco,hybrid,recall@5,2000,0.783,0.412306,0.76493,0.80107,0.01807,-0.1245,0.2684,0.0,0.0
msmarco,dense,mrr,2000,0.5215,0.378568,0.504909,0.538091,0.016591,,,,
msmarco,lexical,mrr,2000,0.389458,0.382672,0.372687,0.40623,0.016771,,,,
msmarco,hybrid,mrr,2000,0.476575,0.381903,0.459837,0.493313,0.016738,-0.1181,0.2279,0.0,0.0
codesearch,dense,recall@1,2000,0.87,0.336388,0.855257,0.884743,0.014743,,,,
codesearch,lexical,recall@1,2000,0.9305,0.254366,0.919352,0.941648,0.011148,,,,
codesearch,hybrid,recall@1,2000,0.9075,0.289803,0.894799,0.920201,0.012701,0.1194,-0.0844,0.0,0.000253
codesearch,dense,recall@3,2000,0.9575,0.201777,0.948657,0.966343,0.008843,,,,
codesearch,lexical,recall@3,2000,0.987,0.113302,0.982034,0.991966,0.004966,,,,
codesearch,hybrid,recall@3,2000,0.981,0.136559,0.975015,0.986985,0.005985,0.1364,-0.0478,0.0,0.018603
codesearch,dense,recall@5,2000,0.9745,0.157677,0.967589,0.981411,0.006911,,,,
codesearch,lexical,recall@5,2000,0.994,0.077246,0.990615,0.997385,0.003385,,,,
codesearch,hybrid,recall@5,2000,0.9915,0.091826,0.987476,0.995524,0.004024,0.1318,-0.0295,0.0,0.095581
codesearch,dense,mrr,2000,0.9141,0.233,0.903888,0.924312,0.010212,,,,
codesearch,lexical,mrr,2000,0.95865,0.156721,0.951781,0.965519,0.006869,,,,
codesearch,hybrid,mrr,2000,0.943975,0.181934,0.936001,0.951949,0.007974,0.1429,-0.0864,0.0,4.4e-05
