mode,top_k,chunk_size,dedup,n_chunks,recall_mean,mrr_mean,latency_mean_ms
faiss_only,3,200,True,1941,0.75,0.60556,23.0039
faiss_only,3,200,False,1941,0.75,0.60556,24.2888
faiss_only,5,200,True,1941,0.75,0.60556,23.0172
faiss_only,5,200,False,1941,0.75,0.60556,26.2876
fts5_only,3,200,True,1941,0.0,0.0,35.2995
fts5_only,3,200,False,1941,0.0,0.0,25.0273
fts5_only,5,200,True,1941,0.0,0.0,24.075
fts5_only,5,200,False,1941,0.0,0.0,23.7626
hybrid,3,200,True,1941,0.75,0.60556,23.6429
hybrid,3,200,False,1941,0.75,0.60556,24.003
hybrid,5,200,True,1941,0.75,0.60556,23.8614
hybrid,5,200,False,1941,0.75,0.60556,26.6018
faiss_only,3,500,True,1202,0.75,0.6,31.4603
faiss_only,3,500,False,1202,0.75,0.6,22.98
faiss_only,5,500,True,1202,0.75,0.6,23.3504
faiss_only,5,500,False,1202,0.75,0.6,22.999
fts5_only,3,500,True,1202,0.0,0.0,23.8561
fts5_only,3,500,False,1202,0.0,0.0,22.9878
fts5_only,5,500,True,1202,0.0,0.0,23.853
fts5_only,5,500,False,1202,0.0,0.0,28.7862
hybrid,3,500,True,1202,0.75,0.6,34.5142
hybrid,3,500,False,1202,0.75,0.6,23.5046
hybrid,5,500,True,1202,0.75,0.6,23.7518
hybrid,5,500,False,1202,0.75,0.6,24.2399
