system,task_type,seed,query_id,success,mrr,latency_ms
CogniSync (Hybrid),code_generation,42,q00_e2,1,1.0,23.474
CogniSync (Hybrid),code_generation,42,q01_e2,1,1.0,22.2234
CogniSync (Hybrid),code_generation,42,q02_e2,1,1.0,20.7575
CogniSync (Hybrid),code_generation,42,q03_e2,1,1.0,21.1981
CogniSync (Hybrid),code_generation,42,q04_e2,1,1.0,23.5848
CogniSync (Hybrid),code_generation,42,q05_e2,1,1.0,22.3074
CogniSync (Hybrid),code_generation,42,q06_e2,1,1.0,22.5073
CogniSync (Hybrid),code_generation,42,q07_e2,1,1.0,21.1093
CogniSync (Hybrid),code_generation,42,q08_e2,1,1.0,20.679
CogniSync (Hybrid),code_generation,42,q09_e2,1,0.5,21.2079
CogniSync (Hybrid),code_generation,42,q10_e2,1,1.0,21.3966
CogniSync (Hybrid),code_generation,42,q11_e2,1,1.0,20.6127
CogniSync (Hybrid),code_generation,42,q12_e2,1,1.0,20.8242
CogniSync (Hybrid),code_generation,42,q13_e2,1,1.0,20.7148
CogniSync (Hybrid),code_generation,42,q14_e2,1,1.0,21.0485
CogniSync (Hybrid),code_generation,42,q15_e2,1,1.0,27.205
CogniSync (Hybrid),code_generation,42,q16_e2,1,0.5,25.0328
CogniSync (Hybrid),code_generation,42,q17_e2,1,1.0,21.1994
CogniSync (Hybrid),code_generation,42,q18_e2,1,1.0,19.4998
CogniSync (Hybrid),code_generation,42,q19_e2,1,0.5,24.1718
CogniSync (Hybrid),code_generation,123,q00_e2,1,1.0,23.9282
CogniSync (Hybrid),code_generation,123,q01_e2,1,1.0,22.2126
CogniSync (Hybrid),code_generation,123,q02_e2,1,1.0,20.4965
CogniSync (Hybrid),code_generation,123,q03_e2,1,1.0,20.7077
CogniSync (Hybrid),code_generation,123,q04_e2,1,1.0,22.3812
CogniSync (Hybrid),code_generation,123,q05_e2,1,1.0,21.2278
CogniSync (Hybrid),code_generation,123,q06_e2,1,1.0,20.3935
CogniSync (Hybrid),code_generation,123,q07_e2,1,1.0,20.1181
CogniSync (Hybrid),code_generation,123,q08_e2,1,1.0,19.7895
CogniSync (Hybrid),code_generation,123,q09_e2,1,0.5,20.4866
CogniSync (Hybrid),code_generation,123,q10_e2,1,1.0,20.7524
CogniSync (Hybrid),code_generation,123,q11_e2,1,1.0,19.9957
CogniSync (Hybrid),code_generation,123,q12_e2,1,1.0,19.4669
CogniSync (Hybrid),code_generation,123,q13_e2,1,1.0,20.5326
CogniSync (Hybrid),code_generation,123,q14_e2,1,1.0,20.3837
CogniSync (Hybrid),code_generation,123,q15_e2,1,1.0,25.7058
CogniSync (Hybrid),code_generation,123,q16_e2,1,0.5,25.5931
CogniSync (Hybrid),code_generation,123,q17_e2,1,1.0,20.6701
CogniSync (Hybrid),code_generation,123,q18_e2,1,1.0,19.4087
CogniSync (Hybrid),code_generation,123,q19_e2,1,0.5,22.5611
CogniSync (Hybrid),code_generation,456,q00_e2,1,1.0,23.4914
CogniSync (Hybrid),code_generation,456,q01_e2,1,1.0,21.3489
CogniSync (Hybrid),code_generation,456,q02_e2,1,1.0,21.4681
CogniSync (Hybrid),code_generation,456,q03_e2,1,1.0,20.7511
CogniSync (Hybrid),code_generation,456,q04_e2,1,1.0,20.9006
CogniSync (Hybrid),code_generation,456,q05_e2,1,1.0,23.7957
CogniSync (Hybrid),code_generation,456,q06_e2,1,1.0,21.2369
CogniSync (Hybrid),code_generation,456,q07_e2,1,1.0,20.7615
CogniSync (Hybrid),code_generation,456,q08_e2,1,1.0,20.6035
CogniSync (Hybrid),code_generation,456,q09_e2,1,0.5,20.2525
CogniSync (Hybrid),code_generation,456,q10_e2,1,1.0,21.0975
CogniSync (Hybrid),code_generation,456,q11_e2,1,1.0,22.145
CogniSync (Hybrid),code_generation,456,q12_e2,1,1.0,19.4365
CogniSync (Hybrid),code_generation,456,q13_e2,1,1.0,20.4002
CogniSync (Hybrid),code_generation,456,q14_e2,1,1.0,22.8566
CogniSync (Hybrid),code_generation,456,q15_e2,1,1.0,30.7518
CogniSync (Hybrid),code_generation,456,q16_e2,1,0.5,23.6029
CogniSync (Hybrid),code_generation,456,q17_e2,1,1.0,19.9735
CogniSync (Hybrid),code_generation,456,q18_e2,1,1.0,19.4076
CogniSync (Hybrid),code_generation,456,q19_e2,1,0.5,22.3703
CogniSync (Hybrid),code_generation,789,q00_e2,1,1.0,22.4083
CogniSync (Hybrid),code_generation,789,q01_e2,1,1.0,21.5511
CogniSync (Hybrid),code_generation,789,q02_e2,1,1.0,19.8637
CogniSync (Hybrid),code_generation,789,q03_e2,1,1.0,19.7651
