Evaluation_Group,Dataset,System,MRR@5,Recall@5
public_source_candidate_pool,code_search_net,CogniSync_RRF,0.994486274509804,0.9995294117647059
public_source_candidate_pool,code_search_net,Dense,0.9984287581699347,0.9997647058823529
public_source_candidate_pool,code_search_net,Hybrid_Naive,0.994486274509804,0.9995294117647059
public_source_candidate_pool,code_search_net,Lexical,0.9888052287581699,0.9938039215686274
public_source_candidate_pool,ms_marco,CogniSync_RRF,0.5034282828282828,0.8394161616161616
public_source_candidate_pool,ms_marco,Dense,0.5509373737373737,0.8753555555555556
public_source_candidate_pool,ms_marco,Hybrid_Naive,0.5034282828282828,0.8394161616161616
public_source_candidate_pool,ms_marco,Lexical,0.37596969696969695,0.7195515151515152
public_source_candidate_pool,sciq,CogniSync_RRF,0.9724384258041897,0.9889560872995004
public_source_candidate_pool,sciq,Dense,0.9827899027083882,0.9926373915330002
public_source_candidate_pool,sciq,Hybrid_Naive,0.9724384258041897,0.9889560872995004
public_source_candidate_pool,sciq,Lexical,0.9521167499342624,0.9755456218774652
public_source_candidate_pool,squad,CogniSync_RRF,0.972772549019608,0.9990588235294118
public_source_candidate_pool,squad,Dense,0.9895098039215687,0.9995294117647059
public_source_candidate_pool,squad,Hybrid_Naive,0.972772549019608,0.9990588235294118
public_source_candidate_pool,squad,Lexical,0.934086274509804,0.9774117647058823
synthetic_domain,synthetic_domain,CogniSync_RRF,0.8633333333333334,1.0
synthetic_domain,synthetic_domain,Dense,0.8934313725490196,1.0
synthetic_domain,synthetic_domain,Hybrid_Naive,0.8633333333333334,1.0
synthetic_domain,synthetic_domain,Lexical,0.8541176470588235,1.0
