attack,defense,target_fpr,asr,asr_undefended,ndcg_defended,ndcg_clean,n,utility_cost_ndcg
A0_static_templates,D0_none,0.001,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D0_none,0.01,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D0_none,0.05,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D1_3feat_tiny,0.001,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D1_3feat_tiny,0.01,0.0,0.0,0.6435,0.6451,300,0.0016
A0_static_templates,D1_3feat_tiny,0.05,0.0,0.0,0.6183,0.6451,300,0.0267
A0_static_templates,D1b_3feat_trained,0.001,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D1b_3feat_trained,0.01,0.0,0.0,0.6386,0.6451,300,0.0065
A0_static_templates,D1b_3feat_trained,0.05,0.0,0.0,0.6036,0.6451,300,0.0415
A0_static_templates,D2_embed_probe,0.001,0.0,0.0,0.6384,0.6451,300,0.0067
A0_static_templates,D2_embed_probe,0.01,0.0,0.0,0.6351,0.6451,300,0.01
A0_static_templates,D2_embed_probe,0.05,0.0,0.0,0.6084,0.6451,300,0.0366
A0_static_templates,D3_distilbert,0.001,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D3_distilbert,0.01,0.0,0.0,0.6396,0.6451,300,0.0054
A0_static_templates,D3_distilbert,0.05,0.0,0.0,0.6322,0.6451,300,0.0129
A0_static_templates,D4_guard_zeroshot,0.001,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D4_guard_zeroshot,0.01,0.0,0.0,0.6453,0.6451,300,-0.0002
A0_static_templates,D4_guard_zeroshot,0.05,0.0,0.0,0.6281,0.6451,300,0.017
A0_static_templates,D5_perplexity,0.001,0.0,0.0,0.6446,0.6451,300,0.0005
A0_static_templates,D5_perplexity,0.01,0.0,0.0,0.6421,0.6451,300,0.003
A0_static_templates,D5_perplexity,0.05,0.0,0.0,0.6016,0.6451,300,0.0435
A0_static_templates,D6_ensemble,0.001,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D6_ensemble,0.01,0.0,0.0,0.6451,0.6451,300,0.0
A0_static_templates,D6_ensemble,0.05,0.0,0.0,0.6417,0.6451,300,0.0033
A1_query_conditioned,D0_none,0.001,0.9933,0.9933,0.6451,0.6451,300,0.0
A1_query_conditioned,D0_none,0.01,0.9933,0.9933,0.6451,0.6451,300,0.0
A1_query_conditioned,D0_none,0.05,0.9933,0.9933,0.6451,0.6451,300,0.0
A1_query_conditioned,D1_3feat_tiny,0.001,0.0,0.9933,0.6451,0.6451,300,0.0
A1_query_conditioned,D1_3feat_tiny,0.01,0.0,0.9933,0.6435,0.6451,300,0.0016
A1_query_conditioned,D1_3feat_tiny,0.05,0.0,0.9933,0.6183,0.6451,300,0.0267
A1_query_conditioned,D1b_3feat_trained,0.001,0.59,0.9933,0.6451,0.6451,300,0.0
A1_query_conditioned,D1b_3feat_trained,0.01,0.02,0.9933,0.6386,0.6451,300,0.0065
A1_query_conditioned,D1b_3feat_trained,0.05,0.0,0.9933,0.6036,0.6451,300,0.0415
A1_query_conditioned,D2_embed_probe,0.001,0.9767,0.9933,0.6384,0.6451,300,0.0067
A1_query_conditioned,D2_embed_probe,0.01,0.9167,0.9933,0.6351,0.6451,300,0.01
A1_query_conditioned,D2_embed_probe,0.05,0.8033,0.9933,0.6084,0.6451,300,0.0366
A1_query_conditioned,D3_distilbert,0.001,0.2233,0.9933,0.6451,0.6451,300,0.0
A1_query_conditioned,D3_distilbert,0.01,0.03,0.9933,0.6396,0.6451,300,0.0054
