defense,target_fpr,realised_fpr
D1_3feat_tiny,0.001,0.0
D1_3feat_tiny,0.01,0.004
D1_3feat_tiny,0.05,0.0547
D1b_3feat_trained,0.001,0.0
D1b_3feat_trained,0.01,0.008
D1b_3feat_trained,0.05,0.0533
D2_embed_probe,0.001,0.004
D2_embed_probe,0.01,0.0113
D2_embed_probe,0.05,0.0587
D3_distilbert,0.001,0.0027
D3_distilbert,0.01,0.0147
D3_distilbert,0.05,0.058
D4_guard_zeroshot,0.001,0.0007
D4_guard_zeroshot,0.01,0.0093
D4_guard_zeroshot,0.05,0.046
D5_perplexity,0.001,0.006
D5_perplexity,0.01,0.0167
D5_perplexity,0.05,0.0567
D6_ensemble,0.001,0.0487
D6_ensemble,0.01,0.0487
D6_ensemble,0.05,0.056
